"","date","parties","value","size","name","firm","date_from","sample_size"
"355","2021-06-29","UKIP",1.82,1,"line UKIP","","",""
"356","2021-06-29","Green",5.27,1,"line Green","","",""
"357","2021-06-29","SNP",4.34,1,"line SNP","","",""
"358","2021-06-29","PLPW",1,1,"line PLPW","","",""
"359","2021-06-29","BP",2.79,1,"line BP","","",""
"360","2021-06-29","ChUK",NA,1,"line ChUK","","",""
"361","2021-06-30","Con",41.99,1,"line Con","","",""
"362","2021-06-30","Lab",33.01,1,"line Lab","","",""
"363","2021-06-30","LibDem",8.92,1,"line LibDem","","",""
"364","2021-06-30","UKIP",1.74,1,"line UKIP","","",""
"365","2021-06-30","Green",5.33,1,"line Green","","",""
"366","2021-06-30","SNP",4.35,1,"line SNP","","",""
"367","2021-06-30","PLPW",1,1,"line PLPW","","",""
"368","2021-06-30","BP",2.86,1,"line BP","","",""
"369","2021-06-30","ChUK",NA,1,"line ChUK","","",""
"370","2021-07-01","Con",41.96,1,"line Con","","",""
"371","2021-07-01","Lab",33.05,1,"line Lab","","",""
"372","2021-07-01","LibDem",8.84,1,"line LibDem","","",""
"373","2021-07-01","UKIP",1.67,1,"line UKIP","","",""
"374","2021-07-01","Green",5.29,1,"line Green","","",""
"375","2021-07-01","SNP",4.23,1,"line SNP","","",""
"376","2021-07-01","PLPW",1,1,"line PLPW","","",""
"377","2021-07-01","BP",2.9,1,"line BP","","",""
"378","2021-07-01","ChUK",NA,1,"line ChUK","","",""
"379","2021-07-02","Con",41.94,1,"line Con","","",""
"380","2021-07-02","Lab",33.1,1,"line Lab","","",""
"381","2021-07-02","LibDem",8.76,1,"line LibDem","","",""
"382","2021-07-02","UKIP",1.59,1,"line UKIP","","",""
"383","2021-07-02","Green",5.24,1,"line Green","","",""
"384","2021-07-02","SNP",4.11,1,"line SNP","","",""
"385","2021-07-02","PLPW",1.01,1,"line PLPW","","",""
"386","2021-07-02","BP",2.93,1,"line BP","","",""
"387","2021-07-02","ChUK",NA,1,"line ChUK","","",""
"388","2021-07-03","Con",41.91,1,"line Con","","",""
"389","2021-07-03","Lab",33.14,1,"line Lab","","",""
"390","2021-07-03","LibDem",8.68,1,"line LibDem","","",""
"391","2021-07-03","UKIP",1.51,1,"line UKIP","","",""
"392","2021-07-03","Green",5.19,1,"line Green","","",""
"393","2021-07-03","SNP",3.99,1,"line SNP","","",""
"394","2021-07-03","PLPW",1.01,1,"line PLPW","","",""
"395","2021-07-03","BP",2.97,1,"line BP","","",""
"396","2021-07-03","ChUK",NA,1,"line ChUK","","",""
"397","2021-07-04","Con",41.88,1,"line Con","","",""
"398","2021-07-04","Lab",33.19,1,"line Lab","","",""
"399","2021-07-04","LibDem",8.6,1,"line LibDem","","",""
"400","2021-07-04","UKIP",1.44,1,"line UKIP","","",""
"401","2021-07-04","Green",5.14,1,"line Green","","",""
"402","2021-07-04","SNP",3.87,1,"line SNP","","",""
"403","2021-07-04","PLPW",1.01,1,"line PLPW","","",""
"404","2021-07-04","BP",3,1,"line BP","","",""
"405","2021-07-04","ChUK",NA,1,"line ChUK","","",""
"406","2021-07-05","Con",41.89,1,"line Con","","",""
"407","2021-07-05","Lab",33.15,1,"line Lab","","",""
"408","2021-07-05","LibDem",8.6,1,"line LibDem","","",""
"409","2021-07-05","UKIP",1.36,1,"line UKIP","","",""
"410","2021-07-05","Green",5.41,1,"line Green","","",""
"411","2021-07-05","SNP",4.07,1,"line SNP","","",""
"412","2021-07-05","PLPW",1.02,1,"line PLPW","","",""
"413","2021-07-05","BP",3.04,1,"line BP","","",""
"414","2021-07-05","ChUK",NA,1,"line ChUK","","",""
"415","2021-07-06","Con",41.85,1,"line Con","","",""
"416","2021-07-06","Lab",33.07,1,"line Lab","","",""
"417","2021-07-06","LibDem",8.68,1,"line LibDem","","",""
"418","2021-07-06","UKIP",1.28,1,"line UKIP","","",""
"419","2021-07-06","Green",5.57,1,"line Green","","",""
"420","2021-07-06","SNP",4.28,1,"line SNP","","",""
"421","2021-07-06","PLPW",1.06,1,"line PLPW","","",""
"422","2021-07-06","BP",2.82,1,"line BP","","",""
"423","2021-07-06","ChUK",NA,1,"line ChUK","","",""
"424","2021-07-07","Con",41.82,1,"line Con","","",""
"425","2021-07-07","Lab",33,1,"line Lab","","",""
"426","2021-07-07","LibDem",8.77,1,"line LibDem","","",""
"427","2021-07-07","UKIP",1.2,1,"line UKIP","","",""
"428","2021-07-07","Green",5.73,1,"line Green","","",""
"429","2021-07-07","SNP",4.49,1,"line SNP","","",""
"430","2021-07-07","PLPW",1.09,1,"line PLPW","","",""
"431","2021-07-07","BP",2.61,1,"line BP","","",""
"432","2021-07-07","ChUK",NA,1,"line ChUK","","",""
"433","2021-07-08","Con",41.78,1,"line Con","","",""
"434","2021-07-08","Lab",32.92,1,"line Lab","","",""
"435","2021-07-08","LibDem",8.85,1,"line LibDem","","",""
"436","2021-07-08","UKIP",1.13,1,"line UKIP","","",""
"437","2021-07-08","Green",5.89,1,"line Green","","",""
"438","2021-07-08","SNP",4.7,1,"line SNP","","",""
"439","2021-07-08","PLPW",1.12,1,"line PLPW","","",""
"440","2021-07-08","BP",2.4,1,"line BP","","",""
"441","2021-07-08","ChUK",NA,1,"line ChUK","","",""
"442","2021-07-09","Con",41.79,1,"line Con","","",""
"443","2021-07-09","Lab",33.05,1,"line Lab","","",""
"444","2021-07-09","LibDem",8.64,1,"line LibDem","","",""
"445","2021-07-09","UKIP",1.13,1,"line UKIP","","",""
"446","2021-07-09","Green",5.86,1,"line Green","","",""
"447","2021-07-09","SNP",4.68,1,"line SNP","","",""
"448","2021-07-09","PLPW",1.36,1,"line PLPW","","",""
"449","2021-07-09","BP",2.39,1,"line BP","","",""
"450","2021-07-09","ChUK",NA,1,"line ChUK","","",""
"451","2021-07-10","Con",41.74,1,"line Con","","",""
"452","2021-07-10","Lab",33.08,1,"line Lab","","",""
"453","2021-07-10","LibDem",8.88,1,"line LibDem","","",""
"454","2021-07-10","UKIP",1.14,1,"line UKIP","","",""
"455","2021-07-10","Green",5.8,1,"line Green","","",""
"456","2021-07-10","SNP",4.6,1,"line SNP","","",""
"457","2021-07-10","PLPW",1.27,1,"line PLPW","","",""
"458","2021-07-10","BP",2.38,1,"line BP","","",""
"459","2021-07-10","ChUK",NA,1,"line ChUK","","",""
"460","2021-07-11","Con",41.7,1,"line Con","","",""
"461","2021-07-11","Lab",33.12,1,"line Lab","","",""
"462","2021-07-11","LibDem",9.13,1,"line LibDem","","",""
"463","2021-07-11","UKIP",1.14,1,"line UKIP","","",""
